id,date,merchant,amount,memo,paymentType,category,isSubscription
tx-202605-001,2026-05-01,학식,6200,점심 식사,card,,false
tx-202605-002,2026-05-01,서울교통공사,1550,지하철,transport,,false
tx-202605-003,2026-05-02,배달의민족,21800,저녁 배달,card,,false
tx-202605-004,2026-05-03,스타벅스,5900,주말 커피,card,,false
tx-202605-005,2026-05-04,쿠팡와우,7890,월 멤버십 자동결제,card,,true
tx-202605-006,2026-05-05,맘스터치,9400,점심,card,,false
tx-202605-007,2026-05-06,서울교통공사,1550,지하철,transport,,false
tx-202605-008,2026-05-07,이마트24,6800,간식과 음료,card,,false
tx-202605-009,2026-05-08,배달의민족,23600,야식,card,,false
tx-202605-010,2026-05-09,넷플릭스,13500,OTT 월 구독,card,,true
tx-202605-011,2026-05-10,학식,6500,점심 식사,card,,false
tx-202605-012,2026-05-11,다이소,11200,생활용품,card,,false
tx-202605-013,2026-05-12,메가커피,2500,커피,card,,false
tx-202605-014,2026-05-13,버거킹,10800,저녁,card,,false
tx-202605-015,2026-05-14,교보문고,22000,전공 참고서,card,,false
tx-202605-016,2026-05-15,서울교통공사,1550,지하철,transport,,false
tx-202605-017,2026-05-16,배달의민족,19200,주말 배달,card,,false
tx-202605-018,2026-05-17,CGV,15000,영화 관람,card,,false
tx-202605-019,2026-05-18,유튜브프리미엄,14900,영상/음악 구독,card,,true
tx-202605-020,2026-05-19,올리브영,18500,생활용품,card,,false
tx-202605-021,2026-05-20,학식,6200,점심 식사,card,,false
tx-202605-022,2026-05-21,카카오택시,9200,늦은 귀가,card,,false
tx-202605-023,2026-05-22,스포티파이,10900,음악 스트리밍 구독,card,,true
tx-202605-024,2026-05-23,배달의민족,20500,저녁 배달,card,,false
tx-202605-025,2026-05-24,스타벅스,6100,과제 중 커피,card,,false
tx-202605-026,2026-05-25,쿠팡,28400,생필품 주문,card,,false
tx-202605-027,2026-05-26,서울교통공사,1550,지하철,transport,,false
tx-202605-028,2026-05-27,노션AI,16500,생산성 앱 구독,card,,true
tx-202605-029,2026-05-28,맘스터치,9700,저녁,card,,false
tx-202605-030,2026-05-29,메가커피,3000,커피,card,,false
tx-202605-031,2026-05-30,GS25,7200,간식과 음료,card,,false
tx-001,2026-06-01,GS25,5200,아침 삼각김밥과 음료,card,,false
tx-002,2026-06-01,스타벅스,5800,등교 전 커피,card,,false
tx-003,2026-06-02,서울교통공사,1550,지하철,transport,,false
tx-004,2026-06-02,쿠팡와우,7890,월 멤버십 자동결제,card,,true
tx-005,2026-06-03,맘스터치,8900,점심,card,,false
tx-006,2026-06-04,넷플릭스,13500,OTT 월 구독,card,,true
tx-007,2026-06-04,카카오택시,12400,늦은 귀가,card,,false
tx-008,2026-06-05,올리브영,26800,생활용품과 화장품,card,,false
tx-009,2026-06-06,배달의민족,18700,저녁 배달,card,,false
tx-010,2026-06-07,메가커피,2500,아이스 아메리카노,card,,false
tx-011,2026-06-08,유튜브프리미엄,14900,영상/음악 구독,card,,true
tx-012,2026-06-08,서울교통공사,1550,지하철,transport,,false
tx-013,2026-06-09,학식,6500,점심 식사,card,,false
tx-014,2026-06-10,무신사,45900,티셔츠 구매,card,,false
tx-015,2026-06-10,스타벅스,6100,과제 중 커피,card,,false
tx-016,2026-06-11,교보문고,18000,전공 참고서,card,,false
tx-017,2026-06-12,배달의민족,21400,야식,card,,false
tx-018,2026-06-13,CGV,15000,영화 관람,card,,false
tx-019,2026-06-14,스포티파이,10900,음악 스트리밍 구독,card,,true
tx-020,2026-06-15,서울교통공사,1550,지하철,transport,,false
tx-021,2026-06-15,이마트24,7300,간식,card,,false
tx-022,2026-06-16,다이소,9200,생활용품,card,,false
tx-023,2026-06-17,버거킹,10200,저녁,card,,false
tx-024,2026-06-18,메가커피,3000,커피,card,,false
tx-025,2026-06-19,쿠팡,32900,생필품 주문,card,,false
tx-026,2026-06-20,배달의민족,19800,주말 배달,card,,false
tx-027,2026-06-21,따릉이,1000,공유자전거,transport,,false
tx-028,2026-06-22,노션AI,16500,생산성 앱 구독,card,,true
tx-029,2026-06-23,학식,6200,점심 식사,card,,false
tx-030,2026-06-24,스타벅스,5900,커피,card,,false
tx-031,2026-06-25,카카오택시,9800,비 오는 날 이동,card,,false
tx-032,2026-06-26,배달의민족,17600,저녁 배달,card,,false
tx-033,2026-06-27,인생네컷,5000,친구 모임,card,,false
tx-034,2026-06-28,GS25,6800,간식과 음료,card,,false
tx-035,2026-06-29,서울교통공사,1550,지하철,transport,,false
